image_id,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore,CLIPScore,RefCLIPScore,CIDEr,Distinct-1,Distinct-2
0,0.19230769230769232,0.09661948493603895,0.046484124660090845,0.017350099614680224,0.21311475409836064,0.06666666666666667,0.14754098360655737,0.275448404379222,0.18422764539718628,30.31626045703888,67.0333981513977,8.591818297022008e-34,0.6346153846153846,0.970873786407767
1,0.14173228346456693,0.06707784709055377,0.01597945311137549,0.00734017869839005,0.14754098360655737,0.03418803418803419,0.128,0.28146592602628373,0.2205987423658371,33.51615071296692,83.96874070167542,3.60190758651593e-76,0.5748031496062992,0.9206349206349206
2,0.19834710743801656,0.1465865045145191,0.09893538241679772,0.06254459033330034,0.22950819672131148,0.11666666666666667,0.19672131147540986,0.446113074204947,0.2287115752696991,25.51698386669159,70.188307762146,1.955794963376575e-65,0.512396694214876,0.8833333333333333
3,0.1596638655462185,0.12199967077645228,0.07446383416791737,0.050647286129989935,0.20512820512820512,0.12173913043478263,0.18803418803418803,0.3913787454035752,0.2463965117931366,31.59976601600647,73.7396240234375,1.4383418297398279e-64,0.5126050420168067,0.8135593220338984
4,0.1484375,0.076446033664227,0.03714428406257107,0.013878973263548769,0.14598540145985403,0.05925925925925926,0.13138686131386862,0.24137931034482762,0.16211830079555511,24.810537695884705,73.53938221931458,1.4343720188472771e-68,0.5546875,0.8740157480314961
5,0.1512605042016807,0.07160638741551652,0.03645581651785559,0.013941673866319913,0.14414414414414414,0.055045871559633024,0.12500000000000003,0.2202643171806168,0.10452251881361008,26.99183225631714,82.37916231155396,5.271450781920582e-68,0.5042016806722689,0.8389830508474576
6,0.12295081967213112,0.06375335211984332,0.04209030605394973,0.015446388699251183,0.13333333333333333,0.050420168067226885,0.11666666666666668,0.2950767936040396,0.12049568444490433,25.307804346084595,82.68676996231079,1.0086309380612177e-63,0.6065573770491803,0.9256198347107438
7,0.16379310344827586,0.11321921526246188,0.0714922072674191,0.04156660554761847,0.21311475409836064,0.1,0.19672131147540986,0.33421033918793996,0.08545318990945816,24.38787817955017,69.7430431842804,1.807684037120519e-58,0.49137931034482757,0.7652173913043478
8,0.28,0.1778001778002667,0.10326814036162801,0.053878420786489065,0.3076923076923077,0.15602836879432624,0.25,0.3883850591950879,0.2443305104970932,27.007174491882324,67.96027421951294,6.098186801919375e-56,0.488,0.8064516129032258
9,0.2792792792792793,0.20775308219456856,0.13615089552223045,0.0901320607476469,0.2903225806451613,0.16393442622950824,0.22580645161290322,0.3914901129943502,0.2673446536064148,28.621715307235718,89.45712447166443,5.94421999687498e-44,0.5765765765765766,0.9272727272727272
