image_id,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore,CLIPScore,RefCLIPScore,CIDEr,Distinct-1,Distinct-2
0,0.5263157894736842,0.2961744388795462,0.17310563032154952,0.07535838128770536,0.4666666666666667,0.21428571428571427,0.4666666666666667,0.5859375,0.5079295635223389,29.933196306228638,81.50889873504639,0.24650388599915912,0.5145631067961165,0.8367346938775511
1,0.7980538111748767,0.5856113963999322,0.3764805534852439,0.2590647110307136,0.6206896551724138,0.41666666666666663,0.6153846153846153,0.6518892630003741,0.6984660625457764,33.77125263214111,90.6631350517273,0.8990138958792075,0.44036697247706424,0.8269230769230769
2,0.8125,0.6582805886043833,0.5372273744502353,0.39281465090051304,0.6206896551724138,0.3703703703703704,0.6206896551724138,0.6510416666666667,0.7605003714561462,31.508910655975342,92.50906705856323,0.946324305024529,0.4230769230769231,0.7777777777777778
3,0.8333333333333334,0.6154574548966637,0.48471590466221626,0.3986357128268013,0.6086956521739131,0.380952380952381,0.6086956521739131,0.6437241735537189,0.7422341704368591,30.907124280929565,86.7161512374878,0.8806183052152127,0.41836734693877553,0.7419354838709677
4,0.5810640921796215,0.4606821198071898,0.27853244283172907,0.12520650587405682,0.39999999999999997,0.1904761904761905,0.34782608695652173,0.3647058823529412,0.5849139094352722,23.49575310945511,76.82008743286133,0.24274296440560222,0.5287356321839081,0.8536585365853658
5,0.6923076923076923,0.41602514716892186,0.2509284350376524,0.11199834887223277,0.4848484848484849,0.19354838709677416,0.4166666666666667,0.46106557377049184,0.5248523354530334,32.22043514251709,91.64156317710876,0.5592907787072575,0.44086021505376344,0.8409090909090909
6,0.3660628445776135,0.2016908040729104,0.06240470479630769,0.035175598114157436,0.35714285714285715,0.09999999999999999,0.28571428571428575,0.38265306122448983,0.42428913712501526,27.441000938415527,85.28121709823608,0.23138927877009222,0.4215686274509804,0.7319587628865979
7,0.6923076923076923,0.48038446141526137,0.3981400394687196,0.3349531889697646,0.47058823529411764,0.27586206896551724,0.45161290322580644,0.39682539682539686,0.5607078075408936,27.686631679534912,72.90382385253906,0.266047825782249,0.375,0.5903614457831325
8,0.7586206896551724,0.593478515844064,0.47116450271890986,0.37638579171677095,0.647887323943662,0.37681159420289856,0.5915492957746479,0.5764840182648402,0.5836213231086731,33.07645916938782,89.47005271911621,0.6006937959096516,0.4329268292682927,0.7547169811320755
9,0.8181818181818182,0.7006490497453707,0.6023190225181085,0.4832697830906221,0.6666666666666667,0.35294117647058826,0.5,0.5095890410958904,0.5005269050598145,31.4811110496521,92.82727241516113,0.6697052073453934,0.37383177570093457,0.6862745098039216
10,0.7142857142857143,0.5548826333938605,0.28430590780309384,0.12011055432195765,0.6153846153846153,0.3225806451612903,0.5384615384615384,0.5769944341372911,0.5782398581504822,32.09453225135803,87.26832866668701,0.9073937740337179,0.38524590163934425,0.6837606837606838
11,0.47058823529411764,0.3429971702850177,0.27443226368130375,0.19582709067534174,0.37500000000000006,0.26666666666666666,0.3703703703703704,0.2960443436633913,0.4982649087905884,31.418031454086304,80.36237955093384,0.24205043120743097,0.39285714285714285,0.6708860759493671
12,0.6153846153846154,0.4150996173302167,0.27858677003365284,0.09837204748544441,0.5365853658536585,0.2564102564102564,0.5365853658536585,0.6777108433734941,0.5491206049919128,30.53026795387268,83.22972655296326,0.15526772637074315,0.41935483870967744,0.7478991596638656
13,0.36363636363636365,0.23440361546924776,0.07727319563343242,0.04740604259878138,0.3888888888888889,0.13793103448275862,0.3333333333333333,0.4891304347826087,0.5559228658676147,26.24821662902832,75.03226399421692,0.0948250927395124,0.5161290322580645,0.8522727272727273
14,0.75,0.5916079783099616,0.38388596864060204,0.2675907588004934,0.5641025641025642,0.2857142857142857,0.4651162790697674,0.534957627118644,0.6115673780441284,29.26313877105713,74.01018738746643,0.7011940973184394,0.36036036036036034,0.7169811320754716
15,0.5,0.23313259624587268,0.135586940730526,0.05868782208785471,0.4166666666666667,0.25000000000000006,0.2978723404255319,0.3605953659659352,0.4619298577308655,28.525632619857788,84.56922769546509,0.4161365565581559,0.4260869565217391,0.8090909090909091
16,0.625,0.39886201760873286,0.1169897750903609,0.06484115071397646,0.5,0.23076923076923075,0.4347826086956522,0.45634920634920634,0.5836142897605896,32.89630115032196,87.50762939453125,0.5602019145457111,0.4945054945054945,0.8837209302325582
17,0.55,0.45014617508912413,0.3836054255829248,0.31569611706824424,0.5161290322580645,0.3448275862068966,0.5161290322580645,0.5294396961063628,0.6640627980232239,35.660114884376526,90.07235765457153,0.3565586535139197,0.42990654205607476,0.7549019607843137
