image_id,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore,CLIPScore,RefCLIPScore,CIDEr,Distinct-1,Distinct-2
0,0.7045597971101069,0.3638331147486294,0.09834322782007418,0.050334013660761845,0.6666666666666666,0.09090909090909093,0.5833333333333334,0.507783145464305,0.7446910738945007,31.14311695098877,88.81728649139404,0.6688456502630504,0.6122448979591837,0.9130434782608695
1,0.3333333333333333,0.12253577034896795,0.07739466945242651,0.03351542279475122,0.32,0.09523809523809523,0.24390243902439024,0.3717201166180758,0.39119434356689453,34.26748812198639,87.82805800437927,0.07292894340135887,0.5691056910569106,0.9152542372881356
2,0.5714285714285714,0.41931393468876726,0.3566121515560454,0.29899503549981366,0.46153846153846156,0.3333333333333333,0.46153846153846156,0.4803206997084548,0.5867280960083008,31.082037091255188,82.97420740127563,0.6934071420191817,0.625,0.9285714285714286
3,0.5625,0.3872983346207417,0.22381431679149066,0.09528070628428423,0.4999999999999999,0.20689655172413796,0.41666666666666663,0.40726130469720206,0.6322577595710754,29.700684547424316,81.95798397064209,0.26623062753328713,0.7291666666666666,1.0
4,0.43478260869565216,0.19881069312188604,0.12607757901387648,0.05538696232597745,0.3255813953488372,0.1142857142857143,0.3243243243243243,0.2313179347826087,0.40600666403770447,23.36035817861557,71.62491083145142,0.1579993557850603,0.7377049180327869,0.9655172413793104
5,0.5217391304347826,0.0486984753557674,0.0257809530407522,0.0204689180374571,0.3870967741935483,0.0,0.25,0.26717557251908397,0.3532816767692566,28.283268213272095,88.30429911613464,0.022262097808228812,0.8235294117647058,1.0
6,0.75,0.4472135954999579,0.30935528891357367,0.21651956746181059,0.5714285714285714,0.3157894736842105,0.4761904761904762,0.7212430426716141,0.45402008295059204,31.206881999969482,92.79007315635681,0.5369225452365566,0.631578947368421,0.9444444444444444
7,0.6,0.39735970711951313,0.09799894470770983,0.0476608251305123,0.4864864864864865,0.17142857142857143,0.43243243243243246,0.3327225130890052,0.6005964279174805,23.42880070209503,74.97602701187134,0.21050705264931732,0.8,1.0
8,0.5882352941176471,0.35806423376863633,0.2986244605100714,0.25609516769327906,0.456140350877193,0.20408163265306123,0.31818181818181823,0.2958579881656805,0.3797222077846527,25.362831354141235,92.25121140480042,0.3701640027224976,0.5913978494623656,0.9550561797752809
9,0.5833333333333334,0.3402785236893603,0.22306573027248058,0.10419044640136393,0.4615384615384615,0.15,0.4000000000000001,0.42592592592592593,0.4243166744709015,32.344186305999756,89.8406982421875,0.28318465322516423,0.6530612244897959,0.9565217391304348
10,0.7357462535941509,0.5722961534031403,0.341827272583275,0.12501190300618223,0.5945945945945946,0.22857142857142856,0.5405405405405405,0.5574156746031746,0.5482211112976074,27.350226044654846,80.1516056060791,0.8267464926639294,0.72,1.0
11,0.42857142857142855,0.12909944487358058,0.045837550248856995,0.02642138995497447,0.34285714285714286,0.0625,0.2285714285714286,0.32244318181818177,0.39543405175209045,31.103157997131348,77.55461931228638,0.0786646437482206,0.6792452830188679,0.9900990099009901
12,0.6538461538461539,0.39613517506411483,0.23902693233629743,0.15441675910887068,0.4615384615384615,0.16216216216216217,0.358974358974359,0.4961244289307529,0.5509616136550903,32.2954535484314,71.99171185493469,0.16804404936959272,0.8461538461538461,1.0
13,0.47058823529411764,0.2970442628930023,0.18363347637365393,0.0805111000764593,0.47058823529411764,0.18181818181818182,0.4117647058823529,0.5111151603498542,0.35616278648376465,30.955320596694946,76.03740692138672,0.22032796853682476,0.6533333333333333,0.971830985915493
14,0.7857142857142857,0.6021937915964949,0.4528414199889358,0.35831291876413535,0.42424242424242425,0.2580645161290323,0.3636363636363636,0.3234939199851481,0.39386245608329773,28.11000347137451,76.5862762928009,0.5482637210150473,0.6050420168067226,0.956140350877193
15,0.6666666666666666,0.3419927840283847,0.12116283240534867,0.049407557414834366,0.35714285714285715,0.15384615384615385,0.32,0.40244969378827644,0.5783662796020508,31.53906762599945,80.25897741317749,0.3541234073909557,0.5180722891566265,0.8607594936708861
16,0.6236713233544118,0.45648066746810906,0.3591066739484904,0.25068244494498715,0.4761904761904762,0.3157894736842105,0.4,0.49010217113665394,0.5865985155105591,32.46116638183594,87.75858879089355,0.7578926314321343,0.6111111111111112,0.9058823529411765
17,0.5833333333333334,0.39009474880274697,0.3060924244061549,0.250737833894674,0.5294117647058824,0.37499999999999994,0.5294117647058824,0.5636363636363637,0.6396130323410034,34.73014235496521,93.2582139968872,0.13628215912748762,0.6712328767123288,0.9855072463768116
18,0.5333333333333333,0.3380617018914066,0.2096698749823582,0.0925159978069645,0.33333333333333337,0.2105263157894737,0.33333333333333337,0.39062499999999994,0.5021260380744934,33.48425626754761,80.83987236022949,0.21460750581087218,0.8666666666666667,1.0
19,0.466759103489572,0.34163268235864885,0.2017715305618114,0.0870052762709763,0.5217391304347826,0.2857142857142857,0.5217391304347826,0.7339089481946625,0.6770612597465515,35.511597990989685,89.61325883865356,0.6011636799663371,0.6395348837209303,0.9506172839506173
20,0.6363636363636364,0.34815531191139565,0.2331149879115988,0.15892715631425636,0.5142857142857143,0.17391304347826086,0.4,0.6368421052631579,0.5483189225196838,26.91512107849121,72.19672203063965,0.3824993582564602,0.6914893617021277,0.9777777777777777
21,0.5555555555555556,0.380442955126341,0.255912248441069,0.09862157080401406,0.45161290322580644,0.16,0.41379310344827586,0.40564373897707234,0.4721302092075348,29.47280704975128,82.03725218772888,0.5906346117653518,0.5955056179775281,0.9642857142857143
22,0.4117647058823529,0.27785946511310566,0.1757172967587011,0.07786777655685517,0.375,0.20000000000000004,0.3448275862068966,0.23364485981308414,0.46543851494789124,34.06280875205994,63.17508816719055,0.186979478151532,0.7647058823529411,0.9375
23,0.7264738703493154,0.5263803275747156,0.41466535096555973,0.2929563753983472,0.5263157894736842,0.27777777777777773,0.4736842105263158,0.4160210055096418,0.5523361563682556,36.679607629776,85.32040119171143,0.44115153964709375,0.5903614457831325,0.9746835443037974
24,0.6,0.5477225575051662,0.4555420847061922,0.3521856535823236,0.5833333333333334,0.3636363636363636,0.4999999999999999,0.5710111788617886,0.6122352480888367,30.82299828529358,86.07912063598633,1.056293705897988,0.9333333333333333,1.0
