image_id,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore,CLIPScore,RefCLIPScore,CIDEr,Distinct-1,Distinct-2
0,0.9090909090909091,0.7385489458759964,0.5697447243773885,0.3882726777522233,0.8000000000000002,0.5555555555555556,0.8000000000000002,0.8030303030303031,0.8132560849189758,32.7963650226593,95.59147357940674,1.4555920212184459,0.4520547945205479,0.7352941176470589
1,0.7667036788577695,0.5166357204442371,0.41566083684640853,0.3438931217657843,0.5384615384615385,0.4,0.4615384615384615,0.49145299145299143,0.572259783744812,34.49530303478241,84.46047306060791,0.8855187878317071,0.4406779661016949,0.7407407407407407
2,0.8333333333333334,0.5855400437691199,0.45212525808511184,0.3164257177669852,0.6111111111111112,0.4444444444444444,0.6,0.5174180327868853,0.6986370086669922,31.823325157165527,88.69099020957947,0.975145294744612,0.37681159420289856,0.59375
3,0.8823529411764706,0.6642111641550715,0.49350522429506183,0.30277029197532096,0.6285714285714286,0.4,0.5925925925925926,0.7066666666666667,0.7725322842597961,32.494133710861206,90.14828205108643,0.6487654161085781,0.4117647058823529,0.675
4,0.7,0.3944053188733077,0.1287014663555365,0.07849573146438121,0.42857142857142855,0.11764705882352941,0.42857142857142855,0.41396979503775616,0.4870188236236572,28.82394790649414,85.39318442344666,0.42405092239220515,0.35185185185185186,0.5510204081632653
5,0.6666666666666666,0.4919573683654302,0.33498102801830926,0.2521193618434983,0.5555555555555556,0.20000000000000004,0.5555555555555556,0.4444444444444444,0.6878715753555298,34.60342884063721,93.84036064147949,0.6990461326406112,0.4888888888888889,0.725
6,0.7777777777777778,0.5985529678206387,0.5357199124778156,0.4548019047027907,0.6666666666666666,0.6,0.6666666666666666,0.6453333333333334,0.7602722644805908,38.38055729866028,92.52210855484009,1.02769952586983,0.5,0.8679245283018868
7,0.8333333333333334,0.5840211804485981,0.32924500789713035,0.14097448493069853,0.5517241379310345,0.3157894736842105,0.4827586206896552,0.418943533697632,0.6699048280715942,32.36874341964722,71.76724672317505,0.27218863335679233,0.38028169014084506,0.6666666666666666
8,0.8645582954394498,0.6325326016834164,0.5403782520524257,0.44556418255692243,0.5925925925925927,0.37499999999999994,0.5185185185185186,0.6524822695035462,0.6671727299690247,30.346006155014038,77.14930176734924,0.26986868151421084,0.3564356435643564,0.65625
9,0.9131007162822624,0.8167021087643551,0.7420416179409494,0.6106272514807896,0.608695652173913,0.42424242424242425,0.608695652173913,0.4607664233576642,0.5712363123893738,35.46201288700104,93.86221170425415,0.7109140571674157,0.41304347826086957,0.7317073170731707
10,0.9166666666666666,0.7385489458759964,0.4983910066497692,0.3508439695638686,0.6666666666666666,0.36363636363636365,0.6666666666666666,0.625,0.5852829813957214,34.30228531360626,84.97169017791748,1.203968916812417,0.25,0.38181818181818183
11,0.7142857142857143,0.4208770096808336,0.2752833692148719,0.12923110938332236,0.4000000000000001,0.14285714285714288,0.33333333333333337,0.2724953617810761,0.5390766859054565,30.920660495758057,75.05044937133789,0.3501171211065347,0.4782608695652174,0.7560975609756098
12,0.9333333333333333,0.7302967433402214,0.55079256740376,0.34715917854878175,0.6428571428571429,0.4242424242424242,0.5714285714285714,0.6437858609254092,0.731683075428009,33.928364515304565,86.22628450393677,1.3197164333225333,0.4,0.6923076923076923
