image_id,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,BERTScore,CLIPScore,RefCLIPScore,CIDEr,Distinct-1,Distinct-2
0,0.8,0.7302967433402215,0.6439432391589432,0.5253819788848316,0.7272727272727272,0.5263157894736842,0.7272727272727272,0.7689655172413793,0.7397584915161133,31.625670194625854,90.49731492996216,1.7834668166590268,0.3333333333333333,0.578125
1,0.6650448426457306,0.4364889635829413,0.24575016356394425,0.10874855364455038,0.5599999999999999,0.2608695652173913,0.5599999999999999,0.5280780075187971,0.6686715483665466,34.245336055755615,91.90285205841064,0.5781126665609281,0.5416666666666666,0.8507462686567164
2,0.6875,0.5664776108983309,0.45236840188648436,0.3464226178936948,0.5999999999999999,0.3846153846153846,0.5806451612903225,0.7229980051296666,0.6635718941688538,31.837797164916992,82.28206634521484,1.191923987138075,0.4819277108433735,0.8461538461538461
3,0.7980538111748767,0.6325326016834164,0.4992048750063904,0.3201860858723451,0.7333333333333334,0.4347826086956522,0.6666666666666666,0.6995884773662552,0.8108383417129517,31.694120168685913,89.33571577072144,1.0368480673841682,0.4268292682926829,0.7662337662337663
4,0.6111111111111112,0.464420364012824,0.37816115731843336,0.2911892337378932,0.45,0.25,0.3846153846153846,0.506050605060506,0.5629507899284363,23.994825780391693,81.33472204208374,0.6653911324229617,0.4752475247524752,0.7916666666666666
5,0.5714285714285714,0.4688072309384954,0.3324741149039659,0.1350862565735142,0.6153846153846153,0.33333333333333337,0.6153846153846153,0.6995884773662552,0.6211938858032227,37.30013966560364,93.25115084648132,0.7359409987172562,0.4647887323943662,0.7878787878787878
6,0.6275363049901946,0.41753963258034626,0.2181127551068446,0.09000099161484185,0.5384615384615385,0.38095238095238093,0.5217391304347826,0.8301839254220206,0.5931931138038635,35.77514886856079,91.98838472366333,0.5929715860198794,0.4111111111111111,0.7529411764705882
7,0.7857142857142857,0.5497252060782752,0.24504385473347326,0.10743014571163138,0.4848484848484848,0.2608695652173913,0.43750000000000006,0.45731707317073167,0.6073400378227234,29.89010512828827,78.9018988609314,0.5296429911383571,0.5,0.7746478873239436
8,0.8947368421052632,0.7394481900248281,0.578199134465802,0.4361438725502979,0.7272727272727273,0.45161290322580644,0.5862068965517241,0.6478335560221415,0.6581766605377197,32.47758746147156,84.04700756072998,1.088937702627818,0.34782608695652173,0.6545454545454545
9,0.7692307692307693,0.5664215155988809,0.4860572702921533,0.3643778960584033,0.5925925925925927,0.35897435897435903,0.5365853658536586,0.4877387152777778,0.556839644908905,33.89996886253357,91.07851982116699,0.7640059332272432,0.37894736842105264,0.6444444444444445
10,0.8666666666666667,0.609449400220044,0.3855390117323886,0.2626909894424158,0.64,0.2727272727272727,0.5599999999999999,0.6343858298036196,0.6361396908760071,31.795993447303772,86.88270449638367,0.7960029215247061,0.3472222222222222,0.6417910447761194
